Biograf;By;Forestillingstidspunkt;Filmtitel;Filmgenre;Filmvarighed;Filminstruktør;Premieredato;Bookingmail;Bookingtelefonnummer;Billetantal
Nordisk Film;Odense;2017-12-25 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;fraser@live.com;69980814;5
Nordisk Film;Odense;2018-02-05 15:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;hling@yahoo.com;79234643;3
Nordisk Film;Århus;2017-12-25 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;pplinux@comcast.net;27899076;4
Nordisk Film;Århus;2017-12-26 19:00;Darkest Hour;Biography, Drama, History ;02:05;Joe Wright;2017-12-22;hampton@sbcglobal.net;78365253;5
Cinemaxx;Odense;2019-12-01 19:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;ubergeeb@gmail.com;45782606;3
Cinemaxx;Odense;2019-12-01 19:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;jmmuller@msn.com;70442232;4
Cinemaxx;Odense;2019-12-01 19:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;thaljef@mac.com;49807733;1
Cinemaxx;Århus;2019-11-15 21:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;pgolle@live.com;69593061;2
Cinemaxx;Århus;2019-11-15 21:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;trygstad@optonline.net;32049093;4
Nordisk Film;Odense;2019-11-15 21:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;monopole@verizon.net;17631511;2
Nordisk Film;Odense;2019-11-15 21:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;parrt@att.net;85501560;3
Nordisk Film;Odense;2019-12-23 15:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;errxn@icloud.com;77010215;3
Nordisk Film;Århus;2019-12-23 15:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;ducasse@verizon.net;25666320;4
Nordisk Film;Århus;2019-12-23 15:00;Dogman;Crime, Drama, Thriller ;01:43;Matteo Garrone;2019-04-12;falcao@outlook.com;72691152;5
Cinemaxx;Odense;2017-07-22 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;webinc@att.net;84961907;4
Cinemaxx;Odense;2017-07-23 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;kenja@comcast.net;28751217;2
Cinemaxx;Odense;2017-07-24 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;boftx@mac.com;59006266;3
Cinemaxx;Århus;2017-07-25 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;formis@gmail.com;82613462;5
Cinemaxx;Århus;2017-07-22 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;jfriedl@hotmail.com;72805770;2
Nordisk Film;Odense;2017-07-23 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;houle@live.com;25078517;3
Nordisk Film;Odense;2017-07-24 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;smcnabb@outlook.com;34872134;3
Nordisk Film;Odense;2017-07-22 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;dleconte@me.com;80798088;2
Nordisk Film;Århus;2017-07-23 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;daveed@yahoo.ca;66647808;5
Nordisk Film;Århus;2017-07-24 19:00;Dunkirk;Action, Drama, History;01:46;Christopher Nolan;2017-07-21;luebke@yahoo.com;69383771;2
Cinemaxx;Odense;2019-04-05 19:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;cliffski@comcast.net;84523603;5
Cinemaxx;Odense;2019-01-01 21:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;flaviog@hotmail.com;61368923;3
Cinemaxx;Odense;2018-11-30 15:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;thrymm@msn.com;13570508;2
Cinemaxx;Århus;2019-04-05 19:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;osaru@mac.com;85983446;3
Cinemaxx;Århus;2019-01-01 21:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;shaffei@optonline.net;47047274;5
Nordisk Film;Odense;2018-11-30 15:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;khris@hotmail.com;77458806;2
Nordisk Film;Odense;2019-02-12 21:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;wbarker@att.net;56644133;2
Nordisk Film;Odense;2018-12-12 21:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;cameron@optonline.net;87268962;2
Nordisk Film;Århus;2018-12-26 19:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;nanop@hotmail.com;90108943;2
Nordisk Film;Århus;2019-05-02 15:00;Green Book;Biography, Comedy, Drama;02:10;Peter Farrelly;2018-11-16;timlinux@yahoo.ca;24409174;5
Cinemaxx;Odense;2019-05-01 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;gospodin@optonline.net;98956772;2
Cinemaxx;Odense;2019-05-01 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;kmiller@yahoo.com;69839959;1
Cinemaxx;Odense;2019-05-01 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;leocharre@aol.com;54137588;5
Cinemaxx;Århus;2019-04-30 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;agolomsh@yahoo.com;95055850;3
Cinemaxx;Århus;2019-05-05 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;cumarana@optonline.net;37794677;3
Nordisk Film;Odense;2019-05-01 19:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;shang@sbcglobal.net;73558072;3
Nordisk Film;Odense;2019-05-29 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;rfisher@icloud.com;20680286;5
Nordisk Film;Odense;2019-05-29 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;dimensio@optonline.net;71714594;5
Nordisk Film;Århus;2019-05-29 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;gavinls@comcast.net;51718074;2
Nordisk Film;Århus;2019-04-30 21:00;Joker;Crime, Drama, Thriller;02:02;Todd Phillips;2019-10-04;mschwartz@live.com;71154222;4
Cinemaxx;Odense;2019-05-01 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;yangyan@yahoo.com;41919090;3
Cinemaxx;Odense;2019-05-01 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;tromey@msn.com;50946127;1
Cinemaxx;Odense;2019-05-01 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;ramollin@hotmail.com;25423648;1
Cinemaxx;Århus;2019-04-30 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;mrdvt@att.net;70305597;2
Cinemaxx;Århus;2019-05-05 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;crypt@yahoo.com;66562566;5
Nordisk Film;Odense;2019-05-01 19:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;penna@hotmail.com;88981434;2
Nordisk Film;Odense;2019-05-29 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;kobayasi@yahoo.com;98605736;1
Nordisk Film;Odense;2019-05-29 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;dkrishna@aol.com;95936682;2
Nordisk Film;Århus;2019-05-29 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;jipsen@att.net;48557445;1
Nordisk Film;Århus;2019-04-30 21:00;Judy;Biography, Drama, Romance;01:58;Rupert Goold;2019-10-04;scitext@outlook.com;99069939;4
Cinemaxx;Odense;2019-12-07 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;oster@sbcglobal.net;20925215;3
Cinemaxx;Odense;2019-12-08 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;rcwil@aol.com;34314697;1
Cinemaxx;Odense;2019-12-09 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;nogin@verizon.net;73835126;1
Cinemaxx;Århus;2019-12-10 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;jbarta@icloud.com;22095188;3
Cinemaxx;Århus;2019-12-11 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;trygstad@verizon.net;19273615;3
Nordisk Film;Odense;2019-12-07 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;mcrawfor@gmail.com;74852145;3
Nordisk Film;Odense;2019-12-08 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;forsberg@msn.com;67319619;3
Nordisk Film;Odense;2019-12-09 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;stellaau@outlook.com;37998925;1
Nordisk Film;Århus;2019-12-10 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;floxy@sbcglobal.net;96704280;2
Nordisk Film;Århus;2019-12-11 19:00;Little Joe;Drama, Horror, Mystery;01:45;Jessica Hausner;2019-12-06;rhavyn@msn.com;40707062;1
Cinemaxx;Odense;2019-10-04 21:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;pajas@comcast.net;63686486;5
Cinemaxx;Odense;2019-10-04 19:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;ralamosm@live.com;79808588;5
Cinemaxx;Odense;2019-10-04 17:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;stevelim@comcast.net;16066473;1
Cinemaxx;Århus;2019-10-04 15:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;sriha@comcast.net;54831109;2
Cinemaxx;Århus;2019-10-04 13:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;kenja@optonline.net;48575566;4
Nordisk Film;Odense;2019-10-04 21:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;demmel@verizon.net;15127824;1
Nordisk Film;Odense;2019-10-04 19:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;curly@msn.com;71936310;1
Nordisk Film;Odense;2019-10-04 17:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;lipeng@mac.com;30424281;3
Nordisk Film;Århus;2019-10-04 15:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;tubesteak@yahoo.com;38560082;5
Nordisk Film;Århus;2019-10-04 13:00;Pain & Glory;Drama;01:53;Pedro Almodóvar;2019-10-04;duchamp@comcast.net;74221414;1
Cinemaxx;Odense;2019-12-01 19:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;whimsy@mac.com;56109141;1
Cinemaxx;Odense;2019-12-01 19:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;dgriffith@gmail.com;79763519;2
Cinemaxx;Odense;2019-12-01 19:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;tarreau@hotmail.com;28705227;1
Cinemaxx;Århus;2019-11-15 21:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;eurohack@icloud.com;69874494;3
Cinemaxx;Århus;2019-11-15 21:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;dieman@outlook.com;96565732;3
Nordisk Film;Odense;2019-11-15 21:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;suresh@live.com;93856726;1
Nordisk Film;Odense;2019-11-15 21:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;nacho@icloud.com;49086974;3
Nordisk Film;Odense;2019-12-23 15:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;tellis@aol.com;23863829;2
Nordisk Film;Århus;2019-12-23 15:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;drezet@yahoo.com;83762157;4
Nordisk Film;Århus;2019-12-23 15:00;Parasite;Comedy, Drama, Thriller ;02:12;Bong Joon Ho;2019-11-08;kingjoshi@verizon.net;20455353;3
Cinemaxx;Odense;2019-04-05 19:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;hamilton@comcast.net;51493889;1
Cinemaxx;Odense;2019-01-01 21:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;miturria@comcast.net;61119486;2
Cinemaxx;Odense;2018-11-30 15:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;zeller@verizon.net;25745729;4
Cinemaxx;Århus;2019-04-05 19:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;grolschie@hotmail.com;55460510;5
Cinemaxx;Århus;2019-01-01 21:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;thurston@outlook.com;99816937;1
Nordisk Film;Odense;2018-11-30 15:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;lpalmer@outlook.com;86657804;3
Nordisk Film;Odense;2019-02-12 21:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;quantaman@icloud.com;66362819;3
Nordisk Film;Odense;2018-12-12 21:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;muadip@live.com;70059931;4
Nordisk Film;Århus;2018-12-26 19:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;airship@hotmail.com;34333098;1
Nordisk Film;Århus;2019-05-02 15:00;Shoplifters;Crime, Drama;02:01;Hirokazu Koreeda;2018-11-23;jshearer@yahoo.ca;89215942;5
Cinemaxx;Odense;2019-04-05 19:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;ahmad@live.com;23121126;4
Cinemaxx;Odense;2019-01-01 21:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;staffelb@hotmail.com;10374817;3
Cinemaxx;Odense;2018-12-21 15:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;temmink@live.com;17995916;3
Cinemaxx;Århus;2019-04-05 19:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;nimaclea@yahoo.ca;11734156;2
Cinemaxx;Århus;2019-01-01 21:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;danneng@me.com;78999927;4
Nordisk Film;Odense;2018-12-21 15:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;airship@mac.com;81203820;2
Nordisk Film;Odense;2019-02-12 21:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;zavadsky@hotmail.com;12163237;4
Nordisk Film;Odense;2018-12-26 21:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;jbryan@me.com;52270069;4
Nordisk Film;Århus;2018-12-26 19:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;dmouse@aol.com;62803725;2
Nordisk Film;Århus;2019-05-02 15:00;The Favourite;Biography, Comedy, Drama;01:59;Yorgos Lanthimos;2018-12-21;mfleming@me.com;17759965;5
Cinemaxx;Odense;2017-12-26 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;nimaclea@hotmail.com;99154371;4
Cinemaxx;Odense;2017-12-27 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;msroth@msn.com;88394675;2
Cinemaxx;Odense;2017-12-26 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;cderoove@optonline.net;47529304;4
Cinemaxx;Århus;2017-12-26 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;amimojo@me.com;18305746;5
Cinemaxx;Århus;2017-12-27 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;caidaperl@hotmail.com;84432262;4
Nordisk Film;Odense;2017-12-28 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;cmdrgravy@gmail.com;39234086;5
Nordisk Film;Odense;2017-12-26 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;novanet@optonline.net;17447521;1
Nordisk Film;Odense;2017-12-27 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;mhassel@hotmail.com;62246767;5
Nordisk Film;Århus;2017-12-28 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;mirod@outlook.com;94268291;3
Nordisk Film;Århus;2017-12-29 20:00;The Shape of Water;Adventure, Drama, Fantasy;02:03;Guillermo del Toro;2017-12-22;kronvold@comcast.net;99381136;2
Cinemaxx;Odense;2017-12-02 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;rupak@optonline.net;88958581;2
Cinemaxx;Odense;2017-12-03 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;ideguy@live.com;57857373;5
Cinemaxx;Odense;2017-12-04 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;tattooman@aol.com;22722611;5
Cinemaxx;Århus;2017-12-05 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;lydia@yahoo.ca;24003908;3
Cinemaxx;Århus;2017-12-06 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;jeteve@verizon.net;67962658;1
Nordisk Film;Odense;2017-12-07 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;fwiles@icloud.com;86796024;5
Nordisk Film;Odense;2017-12-08 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;gboss@optonline.net;55397707;5
Nordisk Film;Odense;2017-12-09 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;mcrawfor@icloud.com;98974761;2
Nordisk Film;Århus;2017-12-10 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;mwilson@outlook.com;36874444;1
Nordisk Film;Århus;2017-12-11 19:00;Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;01:55;Martin McDonagh;2017-12-01;lridener@yahoo.com;56571001;1
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
